,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,0.0772,Sun Jul 08 12:40:00 +0000 2018,0.769,0.109,0.122,74
74,-0.296,Sun Jul 08 12:30:00 +0000 2018,0.714,0.173,0.112,75
75,0.0,Sun Jul 08 12:20:00 +0000 2018,1.0,0.0,0.0,76
76,0.4215,Sun Jul 08 12:11:17 +0000 2018,0.865,0.0,0.135,77
77,0.1139,Sun Jul 08 12:09:01 +0000 2018,0.922,0.0,0.078,78
78,0.0191,Sun Jul 08 12:04:00 +0000 2018,0.842,0.077,0.081,79
79,-0.0516,Sun Jul 08 12:00:00 +0000 2018,0.685,0.164,0.151,80
80,0.0,Sun Jul 08 11:50:00 +0000 2018,1.0,0.0,0.0,81
81,-0.4404,Sun Jul 08 11:40:00 +0000 2018,0.861,0.139,0.0,82
82,0.6249,Sun Jul 08 11:30:00 +0000 2018,0.785,0.0,0.215,83
83,-0.7366,Sun Jul 08 11:20:00 +0000 2018,0.499,0.391,0.109,84
84,-0.2263,Sun Jul 08 11:10:00 +0000 2018,0.899,0.101,0.0,85
85,0.875,Sun Jul 08 11:00:01 +0000 2018,0.583,0.0,0.417,86
86,-0.4215,Sun Jul 08 10:53:00 +0000 2018,0.833,0.167,0.0,87
87,-0.5093,Sun Jul 08 10:45:00 +0000 2018,0.752,0.248,0.0,88
88,-0.8126,Sun Jul 08 10:38:00 +0000 2018,0.575,0.425,0.0,89
89,0.0,Sun Jul 08 10:30:00 +0000 2018,1.0,0.0,0.0,90
90,0.0191,Sun Jul 08 10:25:00 +0000 2018,0.858,0.069,0.073,91
91,0.0,Sun Jul 08 10:15:00 +0000 2018,1.0,0.0,0.0,92
92,0.7003,Sun Jul 08 10:07:00 +0000 2018,0.734,0.0,0.266,93
93,0.4939,Sun Jul 08 10:00:00 +0000 2018,0.643,0.121,0.236,94
94,-0.802,Sun Jul 08 09:53:00 +0000 2018,0.493,0.507,0.0,95
95,0.6249,Sun Jul 08 09:45:00 +0000 2018,0.814,0.0,0.186,96
96,-0.34,Sun Jul 08 09:38:00 +0000 2018,0.833,0.167,0.0,97
97,-0.8225,Sun Jul 08 09:30:00 +0000 2018,0.591,0.409,0.0,98
98,-0.2732,Sun Jul 08 09:23:00 +0000 2018,0.778,0.132,0.089,99
99,-0.2263,Sun Jul 08 09:15:00 +0000 2018,0.894,0.106,0.0,100
