,Compound,Date,Negative,Neutral,Positive,Tweets Ago
34,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.45,0.0,0.55,35
35,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.698,0.0,0.302,36
36,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.877,0.0,0.123,37
37,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.483,0.0,0.517,38
38,0.0,Mon Jun 11 02:21:03 +0000 2018,1.0,0.0,0.0,39
39,0.0,Mon Jun 11 02:16:06 +0000 2018,1.0,0.0,0.0,40
40,0.8908,Mon Jun 11 02:11:03 +0000 2018,0.509,0.0,0.491,41
41,0.0,Mon Jun 11 02:05:47 +0000 2018,1.0,0.0,0.0,42
42,0.4926,Mon Jun 11 02:03:31 +0000 2018,0.738,0.0,0.262,43
43,0.5093,Mon Jun 11 01:58:48 +0000 2018,0.477,0.0,0.523,44
44,0.7579,Mon Jun 11 01:53:17 +0000 2018,0.435,0.0,0.565,45
45,0.6467,Mon Jun 11 01:51:16 +0000 2018,0.752,0.0,0.248,46
46,0.0,Mon Jun 11 01:38:23 +0000 2018,1.0,0.0,0.0,47
47,0.636,Mon Jun 11 01:37:36 +0000 2018,0.724,0.0,0.276,48
48,0.8834,Mon Jun 11 01:30:56 +0000 2018,0.437,0.0,0.563,49
49,0.0,Mon Jun 11 01:29:21 +0000 2018,1.0,0.0,0.0,50
50,0.7351,Mon Jun 11 01:26:03 +0000 2018,0.625,0.079,0.296,51
51,0.0,Mon Jun 11 01:25:59 +0000 2018,1.0,0.0,0.0,52
52,0.0,Mon Jun 11 01:24:46 +0000 2018,1.0,0.0,0.0,53
53,0.4019,Mon Jun 11 01:24:12 +0000 2018,0.838,0.0,0.162,54
54,0.9151,Mon Jun 11 01:19:59 +0000 2018,0.543,0.0,0.457,55
55,0.6369,Mon Jun 11 01:12:31 +0000 2018,0.625,0.0,0.375,56
56,0.1511,Mon Jun 11 01:08:28 +0000 2018,0.898,0.0,0.102,57
57,0.1531,Mon Jun 11 01:08:24 +0000 2018,0.852,0.0,0.148,58
58,0.8834,Mon Jun 11 01:02:47 +0000 2018,0.437,0.0,0.563,59
59,0.0,Mon Jun 11 00:58:06 +0000 2018,1.0,0.0,0.0,60
60,0.2714,Mon Jun 11 00:52:34 +0000 2018,0.793,0.0,0.207,61
61,0.0,Mon Jun 11 00:51:11 +0000 2018,1.0,0.0,0.0,62
62,0.8478,Mon Jun 11 00:50:18 +0000 2018,0.494,0.0,0.506,63
63,0.8858,Mon Jun 11 00:45:14 +0000 2018,0.435,0.0,0.565,64
64,0.0,Mon Jun 11 00:44:36 +0000 2018,1.0,0.0,0.0,65
65,0.25,Mon Jun 11 00:35:41 +0000 2018,0.92,0.0,0.08,66
66,0.4588,Mon Jun 11 00:34:45 +0000 2018,0.833,0.0,0.167,67
67,0.0,Mon Jun 11 00:31:28 +0000 2018,1.0,0.0,0.0,68
68,0.3612,Mon Jun 11 00:27:42 +0000 2018,0.737,0.0,0.263,69
69,0.8908,Mon Jun 11 00:27:00 +0000 2018,0.43,0.0,0.57,70
70,0.0,Mon Jun 11 00:24:31 +0000 2018,1.0,0.0,0.0,71
71,0.0,Mon Jun 11 00:22:15 +0000 2018,1.0,0.0,0.0,72
72,0.6369,Mon Jun 11 00:22:15 +0000 2018,0.588,0.0,0.412,73
73,0.0,Mon Jun 11 00:18:16 +0000 2018,1.0,0.0,0.0,74
74,0.6369,Mon Jun 11 00:13:27 +0000 2018,0.756,0.0,0.244,75
75,0.8834,Mon Jun 11 00:12:31 +0000 2018,0.437,0.0,0.563,76
76,0.6696,Mon Jun 11 00:06:39 +0000 2018,0.64,0.0,0.36,77
77,0.0,Mon Jun 11 00:04:15 +0000 2018,1.0,0.0,0.0,78
