,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,0.0,Thu Jul 05 11:32:57 +0000 2018,0.66,0.153,0.188,75
75,0.7289,Thu Jul 05 11:32:26 +0000 2018,0.71,0.0,0.29,76
76,-0.872,Thu Jul 05 11:26:56 +0000 2018,0.571,0.371,0.057,77
77,-0.6908,Thu Jul 05 11:22:56 +0000 2018,0.808,0.192,0.0,78
78,0.6486,Thu Jul 05 11:11:25 +0000 2018,0.806,0.0,0.194,79
79,0.0,Thu Jul 05 11:03:07 +0000 2018,1.0,0.0,0.0,80
80,0.0,Thu Jul 05 09:46:36 +0000 2018,1.0,0.0,0.0,81
81,0.0,Thu Jul 05 08:00:04 +0000 2018,1.0,0.0,0.0,82
82,-0.296,Thu Jul 05 07:31:03 +0000 2018,0.845,0.155,0.0,83
83,-0.8807,Thu Jul 05 07:01:05 +0000 2018,0.673,0.327,0.0,84
84,0.9153,Wed Jul 04 19:03:04 +0000 2018,0.485,0.0,0.515,85
85,-0.5103,Wed Jul 04 18:02:03 +0000 2018,0.535,0.321,0.144,86
86,0.3612,Wed Jul 04 16:52:02 +0000 2018,0.815,0.0,0.185,87
87,-0.296,Wed Jul 04 16:02:01 +0000 2018,0.833,0.167,0.0,88
88,0.0,Wed Jul 04 14:27:00 +0000 2018,1.0,0.0,0.0,89
89,0.0,Wed Jul 04 14:04:05 +0000 2018,1.0,0.0,0.0,90
90,-0.8934,Wed Jul 04 13:01:25 +0000 2018,0.526,0.474,0.0,91
91,0.6369,Wed Jul 04 12:34:02 +0000 2018,0.781,0.0,0.219,92
92,0.6114,Wed Jul 04 12:01:08 +0000 2018,0.6,0.0,0.4,93
93,0.0,Wed Jul 04 11:01:08 +0000 2018,1.0,0.0,0.0,94
94,-0.802,Wed Jul 04 10:17:15 +0000 2018,0.725,0.275,0.0,95
95,0.7351,Wed Jul 04 08:00:11 +0000 2018,0.563,0.0,0.437,96
96,-0.6597,Wed Jul 04 07:23:02 +0000 2018,0.804,0.196,0.0,97
97,0.34,Wed Jul 04 07:00:12 +0000 2018,0.789,0.0,0.211,98
98,0.6597,Tue Jul 03 21:01:39 +0000 2018,0.646,0.102,0.252,99
99,-0.3182,Tue Jul 03 20:55:51 +0000 2018,0.905,0.095,0.0,100
