,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,0.0,Sun Jul 08 00:30:32 +0000 2018,1.0,0.0,0.0,74
74,0.0,Sun Jul 08 00:00:12 +0000 2018,1.0,0.0,0.0,75
75,0.0,Sat Jul 07 23:30:10 +0000 2018,1.0,0.0,0.0,76
76,0.0,Sat Jul 07 23:00:08 +0000 2018,1.0,0.0,0.0,77
77,-0.4588,Sat Jul 07 22:45:07 +0000 2018,0.733,0.267,0.0,78
78,0.0,Sat Jul 07 22:30:10 +0000 2018,1.0,0.0,0.0,79
79,0.0,Sat Jul 07 22:15:07 +0000 2018,1.0,0.0,0.0,80
80,0.34,Sat Jul 07 22:00:07 +0000 2018,0.844,0.0,0.156,81
81,0.5267,Sat Jul 07 21:45:05 +0000 2018,0.746,0.0,0.254,82
82,0.0258,Sat Jul 07 21:30:17 +0000 2018,0.61,0.192,0.197,83
83,-0.25,Sat Jul 07 21:15:49 +0000 2018,0.882,0.118,0.0,84
84,-0.6486,Sat Jul 07 21:15:08 +0000 2018,0.629,0.371,0.0,85
85,0.0,Sat Jul 07 21:00:13 +0000 2018,1.0,0.0,0.0,86
86,-0.5423,Sat Jul 07 20:45:04 +0000 2018,0.71,0.29,0.0,87
87,0.2732,Sat Jul 07 20:30:16 +0000 2018,0.751,0.099,0.15,88
88,-0.25,Sat Jul 07 20:15:36 +0000 2018,0.882,0.118,0.0,89
89,0.7717,Sat Jul 07 20:00:06 +0000 2018,0.675,0.0,0.325,90
90,-0.2732,Sat Jul 07 19:45:06 +0000 2018,0.798,0.135,0.067,91
91,0.0,Sat Jul 07 19:30:11 +0000 2018,1.0,0.0,0.0,92
92,-0.5267,Sat Jul 07 19:15:05 +0000 2018,0.779,0.221,0.0,93
93,-0.3612,Sat Jul 07 19:00:03 +0000 2018,0.839,0.161,0.0,94
94,-0.8225,Sat Jul 07 18:45:06 +0000 2018,0.568,0.432,0.0,95
95,-0.5423,Sat Jul 07 18:30:05 +0000 2018,0.696,0.304,0.0,96
96,-0.296,Sat Jul 07 18:15:04 +0000 2018,0.905,0.095,0.0,97
97,-0.7845,Sat Jul 07 18:00:12 +0000 2018,0.432,0.47,0.097,98
98,0.4019,Sat Jul 07 17:45:04 +0000 2018,0.803,0.0,0.197,99
99,-0.7717,Sat Jul 07 17:30:13 +0000 2018,0.51,0.49,0.0,100
