,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,0.0,Sun Jul 08 00:51:27 +0000 2018,1.0,0.0,0.0,74
74,0.5574,Sun Jul 08 00:35:19 +0000 2018,0.735,0.0,0.265,75
75,0.4019,Sun Jul 08 00:24:43 +0000 2018,0.856,0.0,0.144,76
76,-0.7351,Sun Jul 08 00:05:59 +0000 2018,0.617,0.383,0.0,77
77,-0.2144,Sat Jul 07 23:53:47 +0000 2018,0.89,0.11,0.0,78
78,0.6875,Sat Jul 07 23:37:43 +0000 2018,0.779,0.0,0.221,79
79,0.4588,Sat Jul 07 23:20:13 +0000 2018,0.769,0.0,0.231,80
80,0.0,Sat Jul 07 23:15:35 +0000 2018,1.0,0.0,0.0,81
81,0.7184,Sat Jul 07 23:10:48 +0000 2018,0.6,0.0,0.4,82
82,0.4404,Sat Jul 07 23:08:15 +0000 2018,0.707,0.0,0.293,83
83,0.2263,Sat Jul 07 22:49:27 +0000 2018,0.881,0.0,0.119,84
84,0.4939,Sat Jul 07 22:30:05 +0000 2018,0.862,0.0,0.138,85
85,-0.34,Sat Jul 07 22:27:26 +0000 2018,0.833,0.167,0.0,86
86,0.0,Sat Jul 07 22:15:05 +0000 2018,1.0,0.0,0.0,87
87,0.3612,Sat Jul 07 22:00:13 +0000 2018,0.898,0.0,0.102,88
88,-0.296,Sat Jul 07 21:45:08 +0000 2018,0.901,0.099,0.0,89
89,0.0,Sat Jul 07 21:30:15 +0000 2018,1.0,0.0,0.0,90
90,0.0,Sat Jul 07 21:15:06 +0000 2018,1.0,0.0,0.0,91
91,0.0,Sat Jul 07 21:00:13 +0000 2018,0.68,0.136,0.184,92
92,0.5719,Sat Jul 07 20:53:46 +0000 2018,0.844,0.0,0.156,93
93,-0.4939,Sat Jul 07 20:45:03 +0000 2018,0.842,0.158,0.0,94
94,0.4588,Sat Jul 07 20:30:08 +0000 2018,0.875,0.0,0.125,95
95,0.1779,Sat Jul 07 20:15:07 +0000 2018,0.918,0.0,0.082,96
96,0.0,Sat Jul 07 20:00:08 +0000 2018,1.0,0.0,0.0,97
97,-0.34,Sat Jul 07 19:45:07 +0000 2018,0.678,0.191,0.131,98
98,0.6369,Sat Jul 07 19:30:13 +0000 2018,0.756,0.0,0.244,99
99,-0.128,Sat Jul 07 19:15:05 +0000 2018,0.933,0.067,0.0,100
